english,english_priority,spanish,spanish_priority,portuguese,portuguese_priority,german,german_priority,danish,danish_priority,dutch,dutch_priority,difficulty
both,5,ambos,5,tanto,5,beide,5,både,5,beide,5,2
mark,5,marcar,5,marcar,5,markieren,5,markere,5,markeren,5,2
often,5,a menudo,5,freqüentemente,5,oft,5,ofte,5,vaak,5,2
letter,5,carta,5,carta,5,Brief,5,brev,5,brief,5,2
until,5,hasta,5,até,5,bis,5,indtil,5,tot,5,2
mile,5,milla,5,milha,5,Meile,5,mile,5,mijl,5,2
river,5,río,5,rio,5,Fluss,5,flod,5,rivier,5,2
car,5,coche,5,carro,5,Auto,5,vogn,5,auto,5,2
feet,5,pies,5,pé,5,Füße,5,fødder,5,voeten,5,2
care,5,cuidar,5,cuidar,5,Pflege,5,pleje,5,zorg,5,2
second,5,segundo,5,segundo,5,zweite,5,sekund,5,tweede,5,2
book,5,libro,5,livro,5,Buch,5,bog,5,boek,5,2
carry,5,llevar,5,transportar,5,tragen,5,bære,5,dragen,5,2
took,5,tomó,5,levou,5,nahmen,5,tog,5,nam,5,2
science,5,ciencia,5,ciência,5,Wissenschaft,5,videnskab,5,wetenschap,5,2
eat,5,comer,5,comer,5,essen,5,spise,5,eten,5,2
room,5,habitación,5,quarto,5,Zimmer,5,værelse,5,kamer,5,2
friend,5,amigo,5,amigo,5,Freund,5,ven,5,vriend,5,2
began,5,comenzó,5,começou,5,begann,5,begyndte,5,begon,5,2
idea,5,idea,5,idéia,5,Idee,5,idé,5,idee,5,2
fish,5,pescado,5,peixe,5,Fisch,5,fisk,5,vis,5,2
mountain,5,montaña,5,montanha,5,Berg,5,bjerg,5,berg,5,2
stop,5,detener,5,parar,5,stoppen,5,stoppe,5,stoppen,5,2
once,5,una vez,5,uma vez,5,einmal,5,engang,5,eenmaal,5,2
base,5,base,5,base,5,Basis,5,basen,5,basis,5,2
hear,5,escuchar,5,ouvir,5,hören,5,høre,5,horen,5,2
horse,5,caballo,5,cavalo,5,Pferd,5,hest,5,paard,5,2
cut,5,cortar,5,cortar,5,schneiden,5,skære,5,snijden,5,2
sure,5,seguro,5,certo,5,sicher,5,sikker,5,zeker,5,2
watch,5,ver,5,ver,5,beobachten,5,se,5,kijken naar,5,2
color,5,color,5,cor,5,Farbe,5,farve,5,kleur,5,2
face,5,cara,5,face,5,Gesicht,5,ansigt,5,gezicht,5,2
wood,5,madera,5,madeira,5,Holz,5,træ,5,hout,5,2
main,5,principal,5,principal,5,Haupt-,5,main,5,hoofd-,5,2
enough,5,suficiente,5,suficiente,5,genug,5,nok,5,genoeg,5,2
plain,5,llanura,5,planície,5,Ebene,5,plain,5,vlakte,5,2
girl,5,chica,5,menina,5,Mädchen,5,pige,5,meisje,5,2
usual,5,usual,5,usual,5,üblich,5,sædvanlig,5,gebruikelijk,5,2
young,5,joven,5,jovem,5,jung,5,ung,5,jong,5,2
ready,5,listo,5,pronto,5,bereit,5,klar,5,klaar,5,2
above,5,arriba,5,acima,5,oben,5,ovenfor,5,boven,5,2
ever,5,nunca,5,sempre,5,je,5,nogensinde,5,ooit,5,2
red,5,rojo,5,vermelho,5,rot,5,rød,5,rood,5,2
list,5,lista,5,lista,5,Liste,5,liste,5,lijst,5,2
though,5,aunque,5,embora,5,obwohl,5,skønt,5,hoewel,5,2
feel,5,sentir,5,sentir,5,fühlen,5,føler,5,voelen,5,2
talk,5,hablar,5,falar,5,sprechen,5,tale,5,praten,5,2
bird,5,pájaro,5,pássaro,5,Vogel,5,fugl,5,vogel,5,2
soon,5,pronto,5,em breve,5,bald,5,snart,5,spoedig,5,2
body,5,cuerpo,5,corpo,5,Körper,5,krop,5,lichaam,5,2
dog,5,perro,5,cão,5,Hund,5,hund,5,hond,5,2
family,5,familia,5,família,5,Familie,5,familie,5,familie,5,2
direct,5,dirigir,5,dirigir,5,leiten,5,direkte,5,directe,5,2
pose,5,plantear,5,pose,5,Pose,5,udgøre,5,pose,5,2
leave,5,dejar,5,deixar,5,verlassen,5,forlade,5,verlaten,5,2
song,5,canción,5,canção,5,Song,5,sang,5,lied,5,2
measure,5,medir,5,medir,5,messen,5,måle,5,meten,5,2
door,5,puerta,5,porta,5,Tür,5,dør,5,deur,5,2
product,5,producto,5,produto,5,Produkt,5,produkt,5,product,5,2
black,5,negro,5,preto,5,schwarz,5,sort,5,zwart,5,2
short,5,corto,5,curto,5,kurz,5,kort,5,kort,5,2
numeral,5,numeral,5,numeral,5,Ziffer,5,talord,5,cijfer,5,2
class,5,clase,5,classe,5,Klasse,5,klasse,5,klasse,5,2
wind,5,viento,5,vento,5,Wind,5,blæst,5,wind,5,2
question,5,cuestión,5,pergunta,5,Frage,5,spørgsmål,5,vraag,5,2
happen,5,suceder,5,acontecer,5,passieren,5,ske,5,gebeuren,5,2
complete,5,completar,5,completar,5,vervollständigen,5,fuldføre,5,voltooien,5,2
ship,5,enviar,5,navio,5,Schiff,5,skib,5,schip,5,2
area,5,área,5,área,5,Bereich,5,område,5,gebied,5,2
half,5,mitad,5,metade,5,Hälfte,5,halv,5,helft,5,2
rock,5,rock,5,rocha,5,Rock,5,sten,5,rots,5,2
order,5,orden,5,ordem,5,bestellen,5,rækkefølge,5,volgorde,5,2
fire,5,fuego,5,fogo,5,Feuer,5,brand,5,brand,5,2
south,5,sur,5,sul,5,Süden,5,syd,5,zuiden,5,2
problem,5,problema,5,problema,5,Problem,5,problem,5,probleem,5,2
piece,5,pieza,5,peça,5,Stück,5,brik,5,stuk,5,2
told,5,dijo,5,disse,5,sagte,5,fortalt,5,vertelde,5,2
knew,5,sabía,5,sabia,5,"wusste,",5,vidste,5,wist,5,2
pass,5,pasar,5,passar,5,passieren,5,passere,5,passeren,5,2
since,5,desde,5,desde,5,da,5,eftersom,5,sinds,5,2
top,5,top,5,topo,5,Top,5,top,5,top,5,2
whole,5,conjunto,5,inteiro,5,ganze,5,hele,5,geheel,5,2
king,5,rey,5,rei,5,König,5,konge,5,koning,5,2
space,5,espacio,5,espaço,5,Raum,5,plads,5,ruimte,5,2
heard,5,oído,5,ouvido,5,hören,5,hørt,5,gehoord,5,2
best,5,mejor,5,o melhor,5,beste,5,bedst,5,best,5,2
hour,5,hora,5,hora,5,Stunde,5,time,5,uur,5,2
better,5,mejor,5,melhor,5,besser,5,bedre,5,beter,5,2
true,5,verdadero,5,verdadeiro,5,wahr,5,sand,5,waar,5,2
during,5,durante,5,durante,5,während,5,i løbet af,5,in de loop van,5,2
remember,5,recordar,5,lembrar,5,merken,5,huske,5,herinneren,5,2
step,5,paso,5,passo,5,Schritt,5,trin,5,stap,5,2
early,5,temprano,5,cedo,5,früh,5,tidligt,5,vroeg,5,2
hold,5,mantener,5,segurar,5,halten,5,hold,5,houden,5,2
west,5,oeste,5,oeste,5,Westen,5,vest,5,west,5,2
ground,5,suelo,5,terreno,5,Boden,5,jord,5,grond,5,2
interest,5,interés,5,interesse,5,Interesse,5,interesse,5,rente,5,2
reach,5,alcanzar,5,alcançar,5,erreichen,5,nå,5,bereiken,5,2
fast,5,rápido,5,rápido,5,schnell,5,hurtigt,5,snel,5,2
verb,5,verbo,5,verbo,5,Verb,5,verbum,5,werkwoord,5,2
sing,5,cantar,5,cantar,5,singen,5,synge,5,zingen,5,2
listen,5,escuchar,5,ouvir,5,hören,5,lytte,5,luisteren,5,2
table,5,mesa,5,tabela,5,Tabelle,5,bord,5,tafel,5,2
travel,5,viajar,5,viajar,5,reisen,5,rejse,5,reizen,5,2
less,5,menos,5,menos,5,weniger,5,mindre,5,minder,5,3
morning,5,mañana,5,manhã,5,Morgen,5,morgen,5,ochtend,5,3
simple,5,simple,5,simples,5,einfach,5,simpelt,5,eenvoudig,5,3
several,5,varios,5,vários,5,mehrere,5,flere,5,verscheidene,5,3
